G,  JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG,  SEP,  OCT,  NOV,  DEC
1,   .,   .,   .,   .,   .,3.3,   .,   .,   .,   .,   .,   .
2,   .,24.3,   .,2.1,   .,   .,   .,   .,   .,   .,0,   .
3,3.3,21.1,   .,2.3,3.3,   .,   .,   .,   .,   .,8.4,   .
4,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,6.3,   .
5,   .,   .,   .,3.8,   .,   .,   .,   .,   .,   .,51.1,   .
6,   .,11.2,11.3,13.4,7.3,3.3,   .,   .,   .,3.8,21.3,   .
7,   .,16.3,118.3,   .,13.4,   .,   .,   .,   .,11.3,   .,   .
8,   .,   .,83.2,   .,   .,   .,3.3,   .,   .,18.1,   .,   .
9,   .,   .,13.4,7.2,   .,3.4,2.3,   .,2.3,13.3,1.4,   .
10,   .,   .,12.1,18.2,   .,13.2,   .,   .,14.5,   .,53.2,   .
11,   .,   .,8.2,   .,13.3,   .,0.1,   .,38.3,125.3,43.3,   .
12,   .,112.3,8.3,5,37.2,   .,15.2,   .,14.2,6.2,   .,   .
13,0,   .,3.4,6.1,3.1,   .,   .,   .,   .,3.3,   .,   .
14,38.3,   .,28.8,0.3,   .,   .,   .,   .,   .,   .,   .,   .
15,2.2,   .,   .,   .,   .,   .,   .,2.1,   .,2.1,2.1,   .
16,8.1,   .,   .,   .,   .,   .,9.3,   .,8.3,3.1,2.3,   .
17,14.3,   .,   .,   .,31.3,   .,   .,   .,   .,   .,   .,   .
18,   .,   .,71.3,   .,21.2,   .,   .,   .,23.2,   .,   .,   .
19,   .,   .,93.3,   .,   .,   .,   .,   .,3.3,   .,3.8,   .
20,34.3,   .,   .,   .,1.3,   .,   .,0,4.1,   .,68.8,   .
21,58.4,   .,13.3,0,1.1,   .,   .,4.1,   .,18.3,3.3,0.2
22,28.3,12.3,   .,3.3,   .,   .,   .,   .,   .,7.2,21.2,2.3
23,14.2,35.2,   .,   .,   .,   .,   .,   .,   .,2.1,8.8,1.2
24,7.2,23.3,2.2,   .,   .,   .,1.2,   .,   .,   .,3.1,0.3
25,   .,1.3,3.3,   .,28.3,3.8,0.7,28.1,   .,0.3,   .,   .
26,   .,   .,3.4,   .,20.1,4.4,   .,30.3,   .,   .,   .,28.2
27,   .,   .,   .,   .,3.3,8.2,   .,4.2,   .,1.1,   .,18.8
28,   .,   .,   .,18.2,13.4,   .,   .,   .,   .,8.3,   .,0.3
29,3.3,,33.3,0.3,8.3,   .,   .,12.3,8.3,3.1,   .,3.1
30,   .,,43.1,   .,8.1,   .,14.2,   .,93.2,1.3,   .,42.3
31,2.2,,45.2,,26.4,,   .,   .,,   .,,   .
2014,,,,,,,,,,,,
1,   .,50,10,   .,   .,   .,   .,   .,55.1,   .,   .,18.3
2,   .,71.3,27.2,   .,   .,   .,   .,   .,11.2,   .,   .,38.4
3,15.3,35.2,   .,   .,4.1,0.4,10.1,   .,10.3,   .,0,1.3
4,13.2,   .,   .,   .,13.3,   .,   .,1.3,2,   .,0.8,18.2
5,33.1,13.1,   .,4.1,   .,   .,   .,   .,4.1,   .,1.3,3.4
6,23.2,4.2,   .,2.1,   .,0.8,   .,   .,   .,   .,33.3,4.3
7,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,23.2,3.2
8,   .,33.2,   .,   .,11.3,   .,3.8,   .,   .,3.3,123.4,   .
9,   .,23.3,   .,18.3,   .,   .,28.3,   .,   .,3.5,2.2,   .
10,   .,14.2,   .,   .,   .,   .,26.7,   .,13.3,   .,   .,   .
11,2.1,93.4,   .,   .,   .,   .,   .,   .,33.4,   .,83.4,   .
12,   .,38.1,   .,   .,4.2,   .,   .,   .,13.2,   .,33.1,   .
13,   .,0.2,   .,0.2,3.3,   .,10.3,   .,8.3,   .,8.3,   .
14,11.3,18.3,   .,0.3,6.3,2.3,3.3,18.3,   .,11.2,0.2,2.3
15,13.3,   .,   .,14.1,   .,   .,1.2,5.2,   .,83.3,   .,1.1
16,   .,   .,   .,   .,   .,0,   .,4.8,   .,17.3,18.3,3.3
17,13.3,9.2,   .,   .,   .,1.2,   .,3.3,   .,12.2,8.4,18.3
18,93.3,8.8,   .,   .,3.3,   .,   .,   .,   .,3.3,71.3,2.1
19,35.2,3.3,   .,   .,   .,   .,   .,   .,   .,   .,13.2,   .
20,28.3,23.4,   .,13.3,   .,   .,   .,3.8,2.3,   .,   .,   .
21,3.3,   .,   .,1.2,   .,9.3,   .,44.6,13.3,1.2,   .,   .
22,   .,2.3,0.3,28.3,   .,   .,3.4,   .,2.1,13.2,   .,   .
23,   .,19.2,13.3,2.4,   .,   .,4.1,2.3,19.2,1.3,   .,   .
24,11.3,   .,23.2,   .,   .,   .,   .,13.4,   .,13.2,   .,   .
25,7.2,   .,0.3,   .,   .,3.3,1.1,   .,   .,   .,   .,   .
26,   .,   .,   .,   .,   .,41.2,   .,   .,1.3,   .,   .,3.3
27,   .,4.3,   .,   .,   .,   .,35.3,5.3,   .,   .,0.1,0.2
28,   .,3.8,   .,13.4,38.3,   .,   .,6.4,   .,   .,3.8,31.3
29,   .,,   .,8.3,7.2,   .,5.8,   .,   .,   .,103.2,0.2
30,15.3,,   .,0.2,0.1,33.1,38.4,   .,   .,   .,3.1,   .
31,73.2,,   .,,1.3,,1.3,   .,,   .,,   .
2015,,,,,,,,,,,,
1,   .,3.3,   .,   .,1.2,   .,   .,0.3,   .,   .,   .,   .
2,   .,4.2,2.2,   .,44.1,   .,   .,3.3,   .,   .,   .,   .
3,   .,   .,31.3,   .,3.1,   .,   .,   .,0.1,21.2,   .,   .
4,   .,9.1,   .,   .,   .,   .,   .,   .,   .,3.3,   .,   .
5,   .,2.2,3.8,7.2,   .,   .,   .,   .,13.3,15.3,   .,   .
6,   .,2.4,   .,   .,   .,   .,   .,   .,3.1,1.1,   .,   .
7,   .,   .,   .,   .,   .,   .,   .,   .,   .,43.3,   .,   .
8,   .,   .,   .,   .,   .,   .,   .,   .,   .,3.2,   .,   .
9,   .,   .,   .,   .,   .,   .,1.8,0,   .,   .,   .,   .
10,   .,   .,   .,   .,1.3,   .,1.2,   .,   .,   .,   .,   .
11,3.3,   .,   .,   .,0.5,   .,   .,   .,   .,3.3,   .,   .
12,10.4,   .,   .,   .,   .,   .,   .,26.8,   .,1.2,   .,   .
13,   .,   .,   .,   .,   .,   .,   .,   .,   .,3.1,   .,   .
14,   .,   .,   .,   .,   .,   .,   .,   .,   .,41.3,   .,   .
15,3.2,1.1,   .,   .,2.2,2.8,   .,   .,8.2,95.1,   .,0.2
16,   .,   .,   .,   .,10.1,3.8,   .,25.1,3.1,5.2,   .,   .
17,5.2,   .,3.3,   .,   .,9.3,   .,20.3,0.1,13.4,   .,   .
18,1.3,   .,   .,6.2,   .,   .,   .,18.2,   .,3.1,   .,   .
19,   .,   .,   .,17.3,   .,   .,   .,1.3,   .,6.2,2.3,   .
20,   .,   .,   .,   .,   .,3.3,   .,30.2,2.3,18.3,1.1,   .
21,   .,   .,   .,   .,17.3,1.3,   .,   .,   .,   .,1.3,   .
22,19.2,3.8,3.5,   .,0.2,   .,   .,2.1,   .,   .,31.3,   .
23,3.3,13.3,   .,   .,10.3,1.4,   .,   .,   .,   .,   .,   .
24,   .,8.8,   .,   .,9.4,33.3,   .,   .,22.3,   .,   .,   .
25,   .,0.3,   .,8.3,   .,   .,   .,12.3,5.4,   .,   .,   .
26,   .,   .,115.3,   .,3.3,   .,31.2,12.1,2.3,   .,   .,   .
27,   .,   .,13.1,1.3,   .,   .,0.3,   .,   .,   .,   .,   .
28,   .,   .,8.3,3.3,   .,5.2,4.2,   .,   .,   .,   .,   .
29,   .,,   .,12.3,   .,   .,   .,   .,   .,13.8,   .,   .
30,51.3,,   .,   .,   .,   .,   .,   .,   .,26.2,   .,   .
31,27.2,,   .,,   .,,8.3,   .,,   .,,   .
2016,,,,,,,,,,,,
1,   .,   .,8.3,   .,   .,0.2,   .,6.1,   .,   .,   .,   .
2,   .,   .,13.4,   .,12.1,6.3,   .,15.2,   .,37.1,   .,   .
3,33.1,4.2,3.1,   .,   .,104.3,   .,   .,   .,17.2,13.1,   .
4,2.8,17.3,6.8,   .,2.3,0.1,   .,   .,   .,7.5,   .,   .
5,23.2,   .,   .,   .,   .,   .,   .,   .,3.8,   .,3.3,   .
6,13.1,   .,3.2,   .,   .,0.2,   .,18.1,7.1,   .,233.2,   .
7,8.2,   .,3.1,   .,   .,0.1,   .,   .,   .,   .,16.2,   .
8,   .,23.3,8.9,   .,   .,   .,   .,   .,   .,   .,0.8,   .
9,48.2,33.1,3.2,13.1,   .,0.2,   .,   .,   .,   .,   .,   .
10,28.3,83.1,   .,4.2,   .,0.1,0.1,   .,   .,3.3,   .,   .
11,12.3,3.8,   .,   .,   .,0.3,   .,12.1,0.2,1.1,   .,   .
12,11.2,25.2,0.2,   .,21.3,38.4,   .,   .,1.2,   .,51.3,   .
13,   .,48.3,   .,   .,5.8,6.2,   .,   .,   .,   .,   .,   .
14,   .,11.2,   .,   .,38.8,5,8.3,   .,   .,13.8,   .,   .
15,23.3,31.3,   .,4.1,21.3,55.9,0.1,   .,0,18.1,   .,   .
16,3.3,24.1,   .,   .,2.1,0.2,0.2,   .,0,38.3,   .,   .
17,   .,10.2,   .,   .,   .,2.1,0.3,   .,43.1,   .,   .,   .
18,   .,3.3,   .,0.4,   .,   .,   .,6.3,24.3,   .,6.1,   .
19,   .,8.1,   .,   .,0.2,   .,   .,3.5,23.1,18.3,105.2,   .
20,   .,22.1,   .,   .,9.2,14.3,   .,1.3,2.1,24.2,58.2,   .
21,   .,   .,0.4,   .,   .,   .,   .,0.2,0.3,46.3,86.1,   .
22,   .,   .,5.1,   .,   .,   .,   .,33.1,   .,2.2,13.3,   .
23,   .,36.1,   .,0.1,   .,   .,   .,   .,   .,   .,12.1,   .
24,   .,16.1,   .,18.3,17.2,   .,   .,   .,   .,3.3,32.2,   .
25,   .,0.3,   .,1.3,   .,   .,   .,   .,   .,18.1,6.1,   .
26,   .,5.3,   .,   .,   .,   .,0.1,   .,   .,23.3,8.3,   .
27,   .,   .,   .,8.3,   .,4.1,   .,   .,   .,   .,8.4,   .
28,   .,18.2,3.2,2.3,   .,   .,0.2,   .,   .,   .,   .,   .
29,0.2,28.3,21.2,8.2,   .,   .,24.3,   .,   .,   .,   .,   .
30,0.1,,0.2,   .,13.1,   .,   .,0.1,   .,   .,   .,   .
31,13.3,,3.3,,0.2,,   .,   .,,   .,,   .
2017,,,,,,,,,,,,
1,   .,94.1,13.3,   .,   .,   .,28.3,   .,   .,   .,   .,3
2,   .,52.2,3.2,   .,   .,   .,   .,   .,27.1,   .,   .,   .
3,15.2,42.1,0,   .,   .,   .,   .,   .,23.2,   .,   .,   .
4,   .,27.2,   .,   .,   .,   .,0,   .,3,4.5,0.1,   .
5,0.3,41.3,13.1,8.1,7.2,   .,   .,   .,0.1,   .,0.2,   .
6,   .,43.3,18.2,2.1,0.1,   .,   .,   .,   .,   .,69.3,   .
7,   .,4.1,9.4,0.2,14.2,0.3,   .,36.3,   .,8.2,33.2,   .
8,   .,   .,   .,   .,6.1,8.1,   .,   .,33.2,   .,10.1,0.4
9,   .,   .,   .,   .,2.2,   .,   .,   .,   .,   .,2.3,67.2
10,   .,   .,   .,   .,0,   .,0,3.3,162.3,2.3,2.5,1.4
11,   .,0.2,   .,   .,3.1,   .,   .,0.1,22.3,   .,   .,122.3
12,   .,0,   .,1.3,0,   .,1.2,   .,18.3,   .,   .,14.3
13,101.1,   .,   .,   .,13.8,   .,   .,0.2,17.8,   .,103.7,23.1
14,33.3,   .,   .,   .,   .,   .,   .,   .,   .,   .,8.2,3.3
15,   .,   .,   .,0.2,   .,   .,   .,   .,8.3,   .,   .,5.3
16,   .,   .,   .,19.3,   .,   .,   .,   .,28.2,   .,0.2,28.2
17,   .,   .,   .,13.8,   .,3.3,   .,   .,22.2,   .,   .,0.8
18,   .,22.1,   .,3.1,   .,   .,   .,   .,13.4,   .,   .,   .
19,   .,   .,   .,12.3,   .,   .,   .,   .,23.7,   .,   .,   .
20,   .,   .,   .,   .,0.2,   .,   .,21.2,11.3,   .,   .,   .
21,   .,   .,   .,   .,21.2,   .,   .,   .,   .,   .,   .,   .
22,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .
23,   .,0,0,   .,   .,   .,   .,   .,   .,59.8,   .,   .
24,   .,0,   .,   .,1.4,   .,0.8,   .,   .,   .,   .,   .
25,   .,38.1,   .,0.3,10.2,   .,4.8,   .,23.3,   .,   .,   .
26,   .,   .,   .,13.4,   .,8.4,1.3,   .,3.1,   .,41.2,   .
27,   .,   .,   .,12.1,   .,   .,2.1,   .,   .,   .,2.1,21.2
28,   .,   .,   .,73.1,   .,0,   .,   .,   .,0.1,   .,61.3
29,   .,,   .,21.2,   .,27.1,   .,10.2,   .,   .,51.3,23.2
30,   .,,   .,   .,   .,0.1,   .,   .,   .,   .,71.2,   .
31,2.3,,   .,,   .,,8.2,   .,,   .,,   .
